id,description,bilgisayar,roadstar,gigabyte,klavye & mouse,pc oyunları,taşınabilir diskler,mikrofon ve kulaklıklar,xbox 360 oyunları,tablet bilgisayarlar,led televizyon,kamera,elektronik,Others
462,hp pavilion nnt pentium gb gb dokunmatik win kwea detay işlemci ıntel pentium işlemciişlemci ıntel pentium ıntel hd graphics ghz mb önbellek çekirdek bellek gb mhz ddrl sdramdahili gb rpm sataekran inç diyagonal hd led aydınlatmak dokunmatik grafik ıntel hd graphicsbağlantı hdmı usb usb rj hoparlör beats audioağ arabirimitümleşik base ethernet lankablosuz bluetooth birleşim miracast ac adaptörüpil hücre wh prizmatikenerji verimliliğienergy belgeliepeat silver,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,stok kargo yüzey retina hd ekran donmak yazılım birliktelik form nesil plusı görmek dikkat çözünürlük retina hd ekran deneyim kontrast yeni görüntülemek açı renklemek almak pik geliştirmek polarizör karşı kadarki multitouch ekran verim bitmek masaüstü mimarî çip işlemci barometre sensör hareket ölçmek artırmak pil nızı kul yapmak fotoğraf kamera video kamera çekilmek isight kamera mikro pik boyut diyafram çekme teknoloji donamak video çekme hızlanmak mod hd eklemek çekmek hd video retina hd ekran izlemek parmak iz parola yan özel çığır touch ıd teknoloji benzer sensör telefon kilit açma ios touch ıd iz fazla erişmek ios kadarki ios sürüm çıta yükselmek ios uygulamak doktor etmek yapmak işlev geliştirmek ios uygulamak derinlemek erişim retina hd ekran,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,mm şebek gsm hsdpa hsdpa mbps hsupa lte wi ac dual band wi direct dlna wi hotspot bt sım işlemci kitkat işlemci quad core ghz cortex quad core ghz cortex çekirdek işlemci çekirdek işlemci çekirdek işlemci super amoled dokunmatik mp cmos led flâş mp cmos mp mv gp wmv asf av flv mkv webm flâş hd kaydetmek görüntü data wi gps bluetooth out usb hafıza dahi hafıza gb gb ram arttırmak hafıza çalar mp ga aac ogg oga wav wma awb flac mıd mıdı xmf mxmf ımy rtttl rtx ot mm kulak navigasyon mesajlaşmak chaton sms mms messaj nb mpeg active sync bluetooth messenger ssm push ım java java mıdp emulator doküman görüntülemek ekstra mah ömür batarya okumak sensör çok samsung apps sensör active sync chaton mesajlaşmak doküman görüntülemek,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,çözünürlük ultra panel hyperreal engin uhd dimming kararmak iyi plus yes doğru derin geliştirmek mod yes dolby ms ms dolby ms dts studio sound dnse dts studio sound dts premium sound dts premium sound dts premium sound yes dengelemek yes özel rms hoparlör down firing full range woofer hd audio smart smart hub yes samsung smart yes yes diz multimedya yes yes yes yes multi screen dual quad samsung tv skype yes taramak yes smart ınteraction etkileşim dahi ready ready etkileşim paylaşım dlna yes screen mirroring yes samsung smart view yes pi eş yes ayarlamak hd cı cı cı cı dtv ayarlamak dvb analog tuner yes mheg hbbtv acap gınga ohtv hdmı usb bileşmek pb pr kompozit common use component ethernet yes kulak optik rf kara kablo common use terrestrial ex link rs ır out yes cı yuva scart mhl ce jak wifi direct yes hdmı aymak yes hdmı return ch yes ınstaport hdmı kablo adaptör kablo yes anynet hdmı cec yes wavy deco vnb black efekt deco stand quad dönmek yes samsung yes dönüşmek yes açmak çekirdek erişmek zoom kapanmak yes kapama zamanlamak yes zamanlamak yes bd wise plus yes altyazı yes usb clone yes connectshare usb movie mod advanced gömülü yes epg yes pvr yes mod yes multiroom speaker local languages pıp yes bt hıd dahi yes usb hıd yes smart evolution soundconnect yes teleteks ttxt yes atlamak yes çevre eko algılamak yes verim cıvmak mg yes beslemek ac maks tasarruf mod ıec sürüm parlak kwh kwh boyut ambalaj gxyxd stant gxyxd stant gxyxd kg stand kg stant kg aksesuar göz kuman tma pil kuman yes samsung smart touch control ultra montaj desteklemek yes montaj yes vesa montaj yes durmak yes kamera ır uzatmak kablo yes kablo klâvye kablo adaptör kılavuz yes kılavuz yes kablo yes kablo cins,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,kod panel led inch ms analog çözünürlük pivot yüksek ayar vesa uyum,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,smartcontrol lite ayarlamak smartcontrol lite simge taban guı monitör yazılım kul parlak kalibrasyon multimedya monitör parametre ayar ayrıntılamak smartcontrast smartcontrast görüntülemek video sunmak ton görüntülemek zengin kontrast ayarlamak aydınlatmak yoğun philips teknoloji mod seçilmek uygulamak görüntülemek kontrast ayarlamak aydınlatmak aymak uygulamak cıvmak içermek led aydınlatmak philips monitör madde cıvmak bulunmak üretim atmak sağ renklemek led led yanmak parlak cihaz led cıvmak içermek gerçek led lcd aydınlatmak kontrast ekranmak parlak renklemek sunmak philips vlsb led monitör ms inç çözünürlük hz led aydınlatmak tft lcd ms aralık frekans parlak kontrast smartcontrast kontrast derin vga analog hoparlör monte adaptör dahi vac boyut pixel garanti,0,0,0,0,0,0,0,0,0,0,0,0,0
2495,seagate backup plus yaşam bilgisayar bulut yedeklemek seagate backup plus taşınmak disk yaşam bulut ağ saklamak tüketmek yedeklemek işlem basit disk cep cüzdan evrak çanta yan götürmek seagate dashboard tıklatmak yedeklemek ayarlamak kor işlev kul risk dosya kopya tutmak kaydetmek sevmek ağ yedek telefon paha biçmek an cihaz kullanım kolay depolamak özel hatıra yakalamak etiket eklemek yayınlamak seagate dashboardun yedeklemek sağlamak yanlışlıkla telefon si kopya beklemek paylaşmak bilgisayar ağ dosya yüklemek oluşmak dosya yüklemek yüklemek dosya seçi yayınlamak belirlemek eklemek profil yönetmek mac ntfs sürmek kuru disk biçim pc mac bilgisayar değişmek kul seagate tb backup plus usb kod stdr disk taşınmak kapasite arabirim usb rpm gb sn disk inch arabellek media center firewire satmak ethernet haricî adaptör boyut uzun inç mm geniş inç mm derin inç mm gereksinim vista xp sp bitmek bitmek mac os superspeed usb usb aktarım hız usb aktarım hız usb mac biçim gerekmek uyum kul donmak yapılandırmak göstermek seagate backup plus disk inç usb kablo seagate dashboard disk yük kılavuz mac ntfs disk yük,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,fotoğraf kompakt tatil hd video çekme kolay özel optik zoom görüntü yakın eğlence yakalamak çeki mod geçinmek mm açıl açıl mm objektif sahne çeki super ccd mp sensör çözünürlük mp sensör sahne güzel yakalamak görmek optik zoom optik zoom telefon u netlikle aksiyon yakın cep sığamak fotoğraf taşınmak cep sığmak küçük seçi seçenek seçi tarz sergilemek ayrıntı yakalamak flâş güçlenmek hassasiyet batım çekme makro odaklamak mesafe makro odaklamak mesafe nesne yakalamak video çekmek düğmek erişmek düğmek çekme kolay clear photo lcd fotoğraf görmek video zahmet oynatmak hd wle akmak çeki düğme basmak hd yapmak hd çekme hd kayıtlamak an yakalamak düğmek yakalamak düğmek basmak çeki başlamak dahi mod etkin ayar ayarlamak efekt yaratı konuşmak dahi efekt teknoloji fotoğraf kat mod yapmak yazılım inmek manzara yakalamak düğme makine kaymak makine hız kare birleşmek panoramik ayrıntılarsuper ccd mp sensörx optik zoom özel sony objektifgüzel video hd özelliğitüm sahne panoramik çekimgörüntü efekt yaratı konuşturunsensör mm super ccdefektif pikselyaklaşık megapikselobjektif tipisony lensoptik zoomx çeki optik zoom clearphoto tft lcdgiriş terminalleriçoklu usb usb usb boyut cıpa mm mm mm inç inç inç cıpa oz pil memory stick duo oz gövde sensör sensör mm super ccd efektif pik megapiksel sony lens odak uzak mm zoom optik zoom çeki optik zoom zoom vga zoom sabitlemek steadyshot eıs gyro odaklamak odaklamak mod nokta izlemek odaklamak izlemek odaklamak odaklamak aralık iauto ft ft ft ft ölçmek mod desen pozlama haricî flâş mod flâş senkronize flâş flâş haricî flâş haricî flâş aralık ıso ft ft ft ft ıso maks ft ft lcd clearphoto tft lcd parlak deklanşör deklanşör iauto denge denge mod bulut floresan denge akkor flâş saklamak dahi bellek mb memory stick duo memory stick pro duo memory stick pro duo memory stick pro hg duo memory stick xc hg duo memory stick micro memory stick micro sd bellek sdhc bellek sdxc bellek microsd bellek microsdhc bellek microsdxc bellek çözünürlük mod vga mod panoramik mod fps vga fps qvga fps panorama panoramik format desteklemek format jpeg dcf exif mpf base dpof dahi flâş dahi flâş mod flâş senkronize flâş flâş dahi flâş aralık ıso ft ft ft ft ıso maks ft ft mod panorama efekt steady shot maksimum fps zamanlamak sn sn portre portre duyarlı sahne portre portre plaj gurme evcil mod efekt kısmî kısmî panorama panoramik işlev ayarlamak panorama efekt steady shot oynatmak oynatmak mod slayt pozlama pozlama telâfi kadem ıso hassasiyet ıso hassasiyet ıso pil cıpa arayüz terminal çok usb usb usb kutu aksesuar şarj pil np bn ac adaptör ac ubc bilek kaymak çok usb kablo kılavuz,0,0,0,0,0,0,0,0,0,0,0,0,0
2580,tefal gv ayar pro express total auto control buhar jeneratör ütü buhar basınç buhar buhar buhar ayar tank çıkarmak tank do autoclean kordon saklamak bölme comfort,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,sony xperia geniş mm yüksek mm kalın mm şebek frekans gsm gsm gsm gsm bluetooth pil mah wi hsdpa mod bluetooth versiyon low energy wi versiyon ac usb gps glonass nfc ıp ıp tozmak dayanıklı sertifika donmak çipset qualcomm snapdragon msmab işlemci ghz krait ram gb lpddr mhz adreno işlemci sensör ivme ölçermek sensör jiroskop sensör pusulamak boyut inç çözünürlük px dokunmatik ekstra live color led teknoloji trılumınos ıps lcd ppi pik yoğun parmak çok dokunmatik çatlamak çizik reality engin bravıa engin yazılım iyi kapasitif çok dokunmatik hafıza hafıza gb haricî hafıza yuva haricî hafıza microsd maksimum hafıza gb çözünürlük mp flâş mp ekstra inç aydınlatmak sony exmor rs cmos sensör bıonz işlemci fps hd mod etiketlemek dokunmak odaklamak panorama hdr timeshift mod ultra hd senkronizasyon versiyon kitkat tema arayüz sony xperia uı çoklumedya mp çalar çalar dahi çekmek oynatmak görüntü eksta çoklumedya mhl port hoparlör miracast kablo dlna ınternet taramak edge ekstra dc hsdpa mbps inmek hsupa mbps yüklemek mesajlaşmak wi hotspot wi direct,0,0,0,0,0,0,0,0,0,0,0,0,0
